generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
66,70,0.00010003536508878815,0.00013470192571094836,0.00011354242842328752,7.53560277712657e-06
67,60,0.00010003536508878815,0.00013797355764269206,0.0001123065454128514,7.265649379039977e-06
68,74,9.686380311802568e-05,0.00013625406783419257,0.00011293841577729006,6.468561600338313e-06
69,68,0.00010245451432219217,0.0001317609629593543,0.00011398303527055153,5.6809445657283804e-06
70,69,9.84693489719118e-05,0.00013015214771744683,0.0001119628937050694,5.936592905338643e-06
71,68,9.831320741994619e-05,0.000134400067820238,0.00011277313382142559,6.512729705066758e-06
72,65,9.831320741994619e-05,0.00012830240722180636,0.00011294325796258637,6.823626864325278e-06
73,64,0.00010032107071262788,0.00013113038768756787,0.00011293437698514659,7.266453634244844e-06
74,65,9.758760373314253e-05,0.00012773349565827237,0.00011231233432551346,7.590263722628333e-06
75,68,9.721891481087084e-05,0.0001340388723768547,0.00011181264061075239,7.323232422324916e-06
76,64,9.556810110640517e-05,0.0001262278335155223,0.00011076414690786092,6.344283018060807e-06
77,70,9.441459156997064e-05,0.00012757877972232692,0.00011219839582540578,6.483011284945474e-06
78,76,9.485003941442394e-05,0.00013759912556530584,0.00011270366523488399,7.416133861094138e-06
79,70,9.808641601981519e-05,0.00013063213257298549,0.00011201544164304657,7.183560754772994e-06
80,74,9.879087523579117e-05,0.00013063213257298549,0.00011075904013098243,7.420504455438242e-06
81,66,9.598302600040523e-05,0.00013891973913744753,0.00011105424209007655,7.723299318203116e-06
82,71,9.730538602262418e-05,0.00013891973913744753,0.00011248053275562321,7.092659264656628e-06
83,64,9.634512504078225e-05,0.0001313332915293218,0.00011228518105561753,6.636225931001984e-06
84,54,0.00010041088052845838,0.00013289825155131426,0.00011328998931795897,7.251590186338296e-06
85,74,9.952198421655787e-05,0.000129137110535899,0.00011275445688682416,6.949682745608907e-06
86,70,9.801324087545398e-05,0.00012811953556558068,0.00011267627094752814,6.824948293806189e-06
87,68,9.702886822509184e-05,0.00013185768231462573,0.00011370515186407962,7.611684177854309e-06
