generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
47,342,1.2433743399532306e-05,2.1062355241389676e-05,1.5765864976729015e-05,1.2878581129091244e-06
48,341,1.2629565836656973e-05,1.9958332375940235e-05,1.572897890120758e-05,1.1376765019605977e-06
49,331,1.302763996648948e-05,1.9161286155542145e-05,1.575122028469144e-05,1.2069329161746137e-06
50,324,1.3149933059952961e-05,1.9645438279708698e-05,1.5758753835674846e-05,1.2171905369808685e-06
51,338,1.260502518080687e-05,2.0273386630408662e-05,1.579034989546696e-05,1.192061801012476e-06
52,342,1.2924082190679495e-05,1.8660569690178614e-05,1.5674255767580847e-05,1.160977364718329e-06
53,337,1.2886950142956038e-05,2.0160496382649238e-05,1.5587577933899893e-05,1.226378141935162e-06
54,345,1.2740228472925996e-05,2.033927656067746e-05,1.5626234883364334e-05,1.2342932572738826e-06
55,355,1.2825381715500915e-05,1.9984139756403292e-05,1.5674933749854858e-05,1.2086481128118745e-06
56,336,1.2518074396559694e-05,1.968612997652701e-05,1.562481881946415e-05,1.2257325508315694e-06
57,341,1.3082427269897014e-05,1.9567542299962654e-05,1.5701957971768448e-05,1.186901510969617e-06
58,318,1.2962490805466407e-05,1.9418402289941308e-05,1.5861360222735053e-05,1.1931472563099797e-06
59,346,1.313260527806816e-05,2.0132665369837596e-05,1.5819392764286767e-05,1.1612809610880818e-06
60,347,1.2736322642203693e-05,1.9197530704806008e-05,1.571410943856448e-05,1.161836993076114e-06
61,333,1.2856427546740553e-05,1.935132705608745e-05,1.5808520967692337e-05,1.206118402567089e-06
62,318,1.2112985769442696e-05,1.9202309770340496e-05,1.5760282725164652e-05,1.1560545065927795e-06
63,327,1.2112985769442696e-05,1.9651838004941673e-05,1.566900862446724e-05,1.1952383711303221e-06
64,324,1.2112985769442696e-05,1.9651838004941673e-05,1.568373463611285e-05,1.2598618457797694e-06
65,346,1.2882852893015906e-05,1.9754484782309643e-05,1.580375709451787e-05,1.2251589200140925e-06
66,328,1.2751392889886491e-05,1.9754484782309643e-05,1.5841285727124316e-05,1.173705532594619e-06
